Ticker,Date,Period,Actual,Estimate
PEG,2019-05-02,Q1 19 ,1.08,1.003
PEP,2019-04-17,Q1 19 ,0.97,0.914
PFE,2019-04-30,Q1 19 ,0.85,0.761
PFG,2019-04-25,Q1 19 ,1.43,1.308
PG,2019-04-23,Q3 19 ,1.06,1.032
PGR,2019-04-16,Q1 19 ,1.83,1.359
PH,2019-05-02,Q3 19 ,3.17,3.015
PHM,2019-04-23,Q1 19 ,0.59,0.473
PKG,2019-04-24,Q1 19 ,1.98,1.957
PKI,2019-04-25,Q1 19 ,0.69,0.662
PLD,2019-04-16,Q1 19 ,0.73,0.718
PM,2019-04-18,Q1 19 ,1.09,0.997
PNC,2019-04-12,Q1 19 ,2.69,2.608
PNR,2019-04-17,Q1 19 ,0.43,0.43
PNW,2019-05-01,Q1 19 ,0.16,0.168
PPG,2019-04-18,Q1 19 ,1.38,1.21
PPL,2019-05-02,Q1 19 ,0.7,0.725
PRGO,2019-05-08,Q1 19 ,1.07,0.945
PRU,2019-05-01,Q1 19 ,3,3.144
PSA,2019-05-01,Q1 19 ,2.53,2.521
PSX,2019-04-30,Q1 19 ,0.4,0.34
PVH,2019-05-29,Q1 20 ,2.46,2.447
PWR,2019-05-02,Q1 19 ,0.96,0.823
PXD,2019-05-06,Q1 19 ,1.83,1.599
PYPL,2019-04-24,Q1 19 ,0.78,0.678
QCOM,2019-05-01,Q2 19 ,0.77,0.706
QRVO,2019-05-07,Q4 19 ,1.22,1.055
RCL,2019-05-01,Q1 19 ,1.31,1.107
RE,2019-05-06,Q1 19 ,6.91,5.901
REG,2019-05-02,Q1 19 ,0.95,0.956
REGN,2019-05-07,Q1 19 ,4.45,5.706
RF,2019-04-18,Q1 19 ,0.37,0.369
RHI,2019-04-23,Q1 19 ,0.93,0.951
RJF,2019-04-24,Q2 19 ,1.81,1.633
RL,2019-05-14,Q4 19 ,1.07,0.898
RMD,2019-05-02,Q3 19 ,0.89,0.851
ROK,2019-04-25,Q2 19 ,2.04,2.081
ROL,2019-04-24,Q1 19 ,0.13,0.152
ROP,2019-04-25,Q1 19 ,3.3,2.779
ROST,2019-05-23,Q1 20 ,1.15,1.123
RSG,2019-04-25,Q1 19 ,0.73,0.719
RTN,2019-04-25,Q1 19 ,2.77,2.472
SBAC,2019-04-29,Q1 19 ,1.72,1.663
SBUX,2019-04-25,Q2 19 ,0.6,0.563
