Date,Open,High,Low,Close,Adj Close,Volume
2019-03-13,59.230000,59.590000,58.950001,59.509998,58.591003,4637000
2019-03-14,59.540001,59.950001,59.310001,59.639999,58.718994,2420800
2019-03-15,59.610001,59.919998,59.400002,59.730000,58.807606,7124300
2019-03-18,59.830002,59.869999,59.320000,59.610001,58.689461,2643900
2019-03-19,59.439999,59.590000,58.880001,59.119999,58.207027,2539000
2019-03-20,59.200001,59.400002,58.720001,58.889999,57.980579,2676900
2019-03-21,58.919998,59.590000,58.759998,59.480000,58.561466,1808600
2019-03-22,59.650002,60.090000,59.480000,59.630001,58.709152,1903700
2019-03-25,59.720001,59.730000,59.389999,59.580002,58.659924,1611600
2019-03-26,59.680000,59.919998,59.480000,59.919998,58.994671,2573400
2019-03-27,59.910000,60.000000,59.110001,59.279999,58.364552,1991600
2019-03-28,59.259998,59.400002,58.570000,58.790001,57.882126,2298100
2019-03-29,58.880001,59.470001,58.590000,59.410000,58.492546,2613400
2019-04-01,59.320000,59.320000,58.119999,58.540001,57.635986,2898800
2019-04-02,58.689999,59.099998,58.270000,59.049999,58.138103,2768300
2019-04-03,59.099998,59.119999,58.540001,58.830002,57.921505,2089700
2019-04-04,59.099998,59.500000,58.709999,59.299999,58.384243,3443900
2019-04-05,59.259998,59.700001,59.009998,59.700001,58.778069,2611800
2019-04-08,59.549999,59.730000,59.090000,59.250000,58.335018,1737900
2019-04-09,59.180000,59.790001,59.009998,59.599998,58.679611,2972400
2019-04-10,59.750000,60.360001,59.330002,59.470001,58.551624,2297300
2019-04-11,59.549999,59.810001,59.320000,59.529999,58.610691,1970500
2019-04-12,59.419998,59.919998,58.930000,59.889999,58.965134,2436900
2019-04-15,59.990002,60.290001,59.770000,59.990002,59.063595,1889600
2019-04-16,60.009998,60.320000,58.520000,58.750000,57.842739,2022300
2019-04-17,58.689999,58.820000,58.349998,58.709999,57.803356,2624000
2019-04-18,58.950001,60.310001,57.869999,58.869999,57.960884,7421500
2019-04-22,58.700001,58.939999,58.169998,58.439999,57.537529,3138200
2019-04-23,58.259998,58.689999,57.700001,58.119999,57.222466,3724500
2019-04-24,58.130001,58.980000,58.130001,58.700001,57.793510,1924200
2019-04-25,58.509998,59.250000,58.389999,59.000000,58.088879,1971300
2019-04-26,59.299999,59.660000,58.840000,58.939999,58.029804,1643600
2019-04-29,58.759998,58.990002,58.369999,58.700001,57.793510,1597900
2019-04-30,58.790001,59.709999,58.590000,59.650002,58.728840,2182600
2019-05-01,59.389999,59.490002,58.759998,58.779999,57.872276,2183200
2019-05-02,59.000000,59.490002,58.500000,59.240002,58.325176,2950700
2019-05-03,59.470001,59.790001,59.080002,59.240002,58.325176,2137900
2019-05-06,59.459999,59.459999,58.689999,58.919998,58.010113,2129100
2019-05-07,58.910000,59.139999,58.630001,58.840000,57.931351,2162300
2019-05-08,58.790001,58.840000,57.750000,57.770000,56.877872,2233800
2019-05-09,57.860001,58.369999,57.500000,58.290001,57.389847,1831200
2019-05-10,58.070000,59.349998,58.020000,59.310001,58.394093,1320600
2019-05-13,59.259998,60.070000,59.200001,59.970001,59.043903,1788400
2019-05-14,59.970001,60.029999,58.990002,59.139999,58.226719,3246300
2019-05-15,59.250000,59.720001,58.950001,59.360001,58.443321,1931200
2019-05-16,59.310001,60.320000,59.169998,60.049999,59.122662,1707500
2019-05-17,59.730000,60.580002,59.730000,60.430000,59.496796,1592000
2019-05-20,60.599998,61.029999,60.200001,60.369999,59.437721,1655100
2019-05-21,60.509998,61.119999,60.360001,60.689999,59.752781,1636800
2019-05-22,60.900002,61.200001,60.580002,61.020000,60.077686,1526400
2019-05-23,61.110001,61.389999,60.759998,61.380001,60.432125,1691800
2019-05-24,61.480000,61.630001,61.049999,61.160000,60.215523,1489900
2019-05-28,61.189999,61.200001,59.790001,59.880001,58.955288,2607600
2019-05-29,60.009998,60.009998,58.799999,58.919998,58.010113,2843700
2019-05-30,58.970001,59.110001,58.369999,58.669998,57.763973,2027700
2019-05-31,58.880001,59.000000,58.139999,58.759998,57.852585,2369200
2019-06-03,58.950001,59.419998,58.480000,59.369999,58.453167,2389300
2019-06-04,59.630001,59.639999,58.220001,59.400002,58.482700,1510800
2019-06-05,59.430000,60.660000,59.430000,60.400002,59.467258,2158600
2019-06-06,60.130001,60.450001,59.919998,60.320000,59.854248,1649500
2019-06-07,60.709999,61.209999,59.900002,60.009998,59.546638,1872800
2019-06-10,59.939999,59.980000,59.410000,59.869999,59.407722,1268300
2019-06-11,59.860001,60.060001,59.020000,59.369999,58.911583,1422800
2019-06-12,59.619999,60.299999,59.610001,60.180000,59.715328,1267000
2019-06-13,60.320000,60.470001,59.630001,60.000000,59.536716,3234000
2019-06-14,60.349998,61.310001,60.130001,60.959999,60.489304,1832000
2019-06-17,60.919998,61.200001,60.549999,60.900002,60.429771,1287500
2019-06-18,61.320000,61.360001,60.060001,60.590000,60.122162,1978900
2019-06-19,60.080002,60.779999,60.000000,60.549999,60.082470,2557800
2019-06-20,60.759998,61.270000,60.380001,61.130001,60.657993,1682500
2019-06-21,61.180000,61.259998,60.619999,61.049999,60.578609,2885800
Date,Open,High,Low,Close,Adj Close,Volume
2019-02-26,116.370003,116.500000,115.430000,115.970001,113.417259,4074600
2019-02-27,115.540001,115.699997,114.410004,115.370003,112.830467,4175100
2019-02-28,114.739998,116.220001,114.209999,115.639999,114.011597,5586300
2019-03-01,115.860001,116.370003,115.230003,116.180000,114.543991,3629100
2019-03-04,116.550003,116.930000,115.500000,116.169998,114.534126,4383100
2019-03-05,115.980003,116.820000,115.660004,116.029999,114.396103,3785400
2019-03-06,115.779999,116.830002,115.580002,116.660004,115.017235,4770700
2019-03-07,116.209999,117.330002,115.699997,116.099998,114.465118,4858300
2019-03-08,115.830002,116.260002,114.260002,115.230003,113.607376,5003300
2019-03-11,115.300003,116.709999,114.980003,116.589996,114.948212,4821600
2019-03-12,116.750000,117.209999,116.010002,116.570000,114.928497,4356400
2019-03-13,116.879997,117.559998,116.459999,116.580002,114.938362,5968600
2019-03-14,116.860001,116.980003,115.449997,115.500000,113.873573,8986600
2019-03-15,115.680000,116.529999,115.370003,115.660004,114.031319,18194200
2019-03-18,116.169998,117.389999,116.050003,117.269997,115.618637,9476000
2019-03-19,117.360001,118.750000,117.250000,118.089996,116.427094,6751700
